//map_name	range	scope	range_IN	rotationFrom	rotationTo	rotation_IN	altitudeFrom	altitudeTo	altitude_IN
//ex_fild00.rsw#	200#	600#	450#	-360#	360#	 0#	-15#	-65#	-60#
// -- ! double right-click won't return to default view ! --
//maplist.js from ratemyserver.net 
prt_fild08.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
prt_fild08a.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
prt_fild08b.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
prt_fild08c.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
prt_fild08d.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
prt_fild09.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
prt_fild10.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
prt_fild11.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
prt_gld.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
prt_in.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
prt_maze01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
prt_maze02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
prt_maze03.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
prt_monk.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
prt_sewb1.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
prt_sewb2.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
prt_sewb3.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
prt_sewb4.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
prtg_cas01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
prtg_cas02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
prtg_cas03.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
prtg_cas04.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
prtg_cas05.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_2vs2.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_c_room.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_n_1-1.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_n_1-2.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_n_1-3.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_n_1-4.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_n_1-5.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_n_2-1.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_n_2-2.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_n_2-3.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_n_2-4.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_n_2-5.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_n_3-1.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_n_3-2.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_n_3-3.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_n_3-4.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_n_3-5.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_n_4-1.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_n_4-2.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_n_4-3.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_n_4-4.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_n_4-5.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_n_5-1.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_n_5-2.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_n_5-3.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_n_5-4.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_n_5-5.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_n_6-1.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_n_6-2.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_n_6-3.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_n_6-4.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_n_6-5.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_n_7-1.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_n_7-2.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_n_7-3.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_n_7-4.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_n_7-5.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_n_8-1.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_n_8-2.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_n_8-3.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_n_8-4.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_n_8-5.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_n_room.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_y_1-1.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_y_1-2.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_y_1-3.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_y_1-4.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_y_1-5.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_y_2-1.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_y_2-2.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_y_2-3.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_y_2-4.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_y_2-5.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_y_3-1.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_y_3-2.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_y_3-3.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_y_3-4.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_y_3-5.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_y_4-1.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_y_4-2.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_y_4-3.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_y_4-4.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_y_4-5.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_y_5-1.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_y_5-2.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_y_5-3.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_y_5-4.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_y_5-5.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_y_6-1.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_y_6-2.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_y_6-3.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_y_6-4.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_y_6-5.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_y_7-1.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_y_7-2.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_y_7-3.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_y_7-4.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_y_7-5.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_y_8-1.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_y_8-2.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_y_8-3.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_y_8-4.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_y_8-5.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
pvp_y_room.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
que_avan01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
que_ba.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
que_bingo.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
que_dan01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
que_dan02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
que_god01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
que_god02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
que_house_s.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
que_hugel.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
que_job01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
que_job02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
que_job03.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
que_lhz.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
que_moc_16.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
que_moon.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
que_ng.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
que_qaru01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
que_qaru02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
que_qaru03.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
que_qaru04.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
que_qaru05.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
que_qsch01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
que_qsch02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
que_qsch03.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
que_qsch04.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
que_qsch05.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
que_rachel.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
que_san04.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
que_sign01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
que_sign02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
que_temsky.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
que_thor.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
quiz_00.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
quiz_01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
quiz_02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
quiz_test.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ra_fild01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ra_fild02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ra_fild03.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ra_fild04.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ra_fild05.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ra_fild06.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ra_fild07.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ra_fild08.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ra_fild09.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ra_fild10.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ra_fild11.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ra_fild12.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ra_fild13.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ra_in01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ra_san01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ra_san02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ra_san03.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ra_san04.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ra_san05.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ra_temin.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ra_temple.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ra_temsky.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
rachel.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
s_atelier.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
sch_gld.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
schg_cas01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
schg_cas02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
schg_cas03.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
schg_cas04.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
schg_cas05.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
schg_dun01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
schg_que01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
sec_in01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
sec_in02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
sec_pri.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
silk_lair.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
spl_fild01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
spl_fild02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
spl_fild03.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
spl_in01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
spl_in02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
splendide.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
sword_1-1.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
sword_2-1.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
sword_3-1.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
te_alde_gld.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
te_aldecas1.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
te_aldecas2.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
te_aldecas3.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
te_aldecas4.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
te_aldecas5.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
te_prt_gld.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
te_prtcas01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
te_prtcas02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
te_prtcas03.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
te_prtcas04.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
te_prtcas05.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
teg_dun01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
teg_dun02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
tha_scene01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
tha_t01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
tha_t02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
tha_t03.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
tha_t04.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
tha_t05.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
tha_t06.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
tha_t07.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
tha_t08.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
tha_t09.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
tha_t10.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
tha_t11.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
tha_t12.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
thana_boss.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
thana_scene01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
thana_step.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
thor_camp.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
thor_v01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
thor_v02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
thor_v03.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
treasure01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
treasure02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
treasure_n1.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
treasure_n2.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
tur_dun01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
tur_dun02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
tur_dun03.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
tur_dun04.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
tur_dun05.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
tur_dun06.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
turbo_e_16.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
turbo_e_4.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
turbo_e_8.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
turbo_n_1.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
turbo_n_16.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
turbo_n_4.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
turbo_n_8.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
turbo_room.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
um_dun01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
um_dun02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
um_fild01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
um_fild02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
um_fild03.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
um_fild04.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
um_in.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
umbala.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
valkyrie.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ve_fild01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ve_fild02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ve_fild03.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ve_fild04.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ve_fild05.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ve_fild06.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ve_fild07.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ve_in.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
ve_in02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
veins.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
wizard_1-1.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
wizard_2-1.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
wizard_3-1.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
xmas.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
xmas_dun01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
xmas_dun02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
xmas_fild01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
xmas_in.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
y_airport.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
yggdrasil01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
yuno.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
yuno_fild01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
yuno_fild02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
yuno_fild03.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
yuno_fild04.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
yuno_fild05.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
yuno_fild06.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
yuno_fild07.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
yuno_fild08.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
yuno_fild09.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
yuno_fild10.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
yuno_fild11.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
yuno_fild12.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
yuno_in01.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
yuno_in02.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
yuno_in03.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
yuno_in04.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
yuno_in05.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
yuno_pre.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#
z_agit.rsw#	128#	640#	480#	-360#	360#	0#	-12#	-72#	-60#

